
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.010468                       # Number of seconds simulated
sim_ticks                                 10468144905                       # Number of ticks simulated
final_tick                               538243521450                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 414416                       # Simulator instruction rate (inst/s)
host_op_rate                                   523645                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                                 268102                       # Simulator tick rate (ticks/s)
host_mem_usage                               67607060                       # Number of bytes of host memory used
host_seconds                                 39045.32                       # Real time elapsed on the host
sim_insts                                 16181022267                       # Number of instructions simulated
sim_ops                                   20445903173                       # Number of ops (including micro ops) simulated
system.physmem.bytes_read::switch_cpus00.inst         4864                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus00.data       170624                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus01.inst         4480                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus01.data       143872                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus02.inst         4992                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus02.data       407680                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus03.inst         4864                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus03.data       179072                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus04.inst         3584                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus04.data       244096                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus05.inst         4480                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus05.data       251904                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus06.inst         4608                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus06.data       411776                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus07.inst         4608                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus07.data       147712                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus08.inst         4352                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus08.data       363520                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus09.inst         4608                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus09.data       365184                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus10.inst         4352                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus10.data       147968                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus11.inst         4224                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus11.data       250240                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus12.inst         4736                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus12.data       365824                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus13.inst         4480                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus13.data       147968                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus14.inst         4992                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus14.data       177024                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus15.inst         4480                       # Number of bytes read from this memory
